dia_jornada,mes_tema,campo,termo,ancorada,frase,decisao,reescrita
2,Quem sou eu?,voz_do_dia,neurociência,NAO,"A neurociência chama isso de condicionamento implícito: padrões gravados tão fundo que parecem naturais, mas são aprendidos.",,
6,Quem sou eu?,voz_do_dia,neurociência,NAO,A neurociência mostra que memórias de momentos significativos formam o núcleo de quem acreditamos ser.,,
7,Quem sou eu?,voz_do_dia,neuroplasticidade,NAO,A neuroplasticidade confirma o que a Bíblia já dizia: o cérebro pode ser remodelado.,,
8,Quem sou eu?,voz_do_dia,neurociência,NAO,A neurociência chama de 'contágio emocional' a tendência de adotar o estado interno das pessoas ao redor.,,
10,Quem sou eu?,voz_do_dia,neurociência,NAO,A neurociência mostra que competências não reconhecidas ficam neurologicamente 'adormecidas' — nós literalmente paramos de desenvolver o que não é valorizado.,,
11,Quem sou eu?,voz_do_dia,neurociência,NAO,A neurociência chama de 'couraça adaptativa' os mecanismos que o cérebro cria para sobreviver a ambientes difíceis.,,
12,Quem sou eu?,voz_do_dia,neurociência,NAO,A neurociência mostra que memórias autobiográficas constroem o 'eu narrativo' — a história que contamos sobre quem somos.,,
14,Quem sou eu?,voz_do_dia,"córtex, neurociência, pré-frontal",NAO,A neurociência chama isso de 'narrador interno' — uma função do córtex pré-frontal que está sempre construindo uma história sobre o que está acontecendo.,,
15,Quem sou eu?,voz_do_dia,neurociência,NAO,A neurociência mostra que autoconhecimento genuíno — o tipo que muda comportamento — requer o desconforto de confrontar pontos cegos.,,
17,Quem sou eu?,voz_do_dia,"dopamina, neurociência",NAO,"A dopamina, explica a neurociência, é liberada em antecipação à recompensa.",,
18,Quem sou eu?,voz_do_dia,"neurociência, sistema límbico",NAO,A neurociência mostra que paixão genuína ativa o sistema límbico de uma forma que nenhuma motivação extrínseca consegue imitar.,,
19,Quem sou eu?,voz_do_dia,neurociência,NAO,"A neurociência mostra que autodistorção — tanto para cima quanto para baixo — gera incongruência interna, que produz ansiedade crônica.",,
20,Quem sou eu?,voz_do_dia,neurociência,NAO,A neurociência mostra que conexão autêntica regula o sistema nervoso de uma forma que nenhuma outra coisa consegue.,,
21,Quem sou eu?,voz_do_dia,"córtex, neurociência, pré-frontal, sistema límbico",NAO,"A neurociência confirma: sob estresse, o córtex pré-frontal — sede do pensamento racional e da identidade consciente — perde ativação para o sistema límbico.",,
22,Quem sou eu?,voz_do_dia,neurociência,NAO,A neurociência mostra que o senso de pertencimento é uma necessidade primária — sua ausência ativa as mesmas regiões cerebrais que dor física.,,
23,Quem sou eu?,voz_do_dia,neurociência,NAO,A neurociência mostra que altruísmo genuíno ativa circuitos de recompensa profundos — mais do que benefício próprio.,,
24,Quem sou eu?,voz_do_dia,neurociência,NAO,A neurociência chama de 'crise de identidade construtiva' os momentos onde a dissonância entre quem você acreditava ser e a realidade é grande demais para manter.,,
25,Quem sou eu?,voz_do_dia,neurociência,NAO,A neurociência chama de 'custo cognitivo' o esforço extra que o cérebro faz quando age contra seus padrões naturais.,,
27,Quem sou eu?,voz_do_dia,neurociência,NAO,A neurociência mostra que dificuldade em receber cuidado está frequentemente ligada a padrões de apego inseguro formados na infância — mas esses padrões podem ser ressignificados.,,
28,Quem sou eu?,voz_do_dia,neurociência,NAO,A neurociência confirma: o cérebro humano é literalmente moldado pela experiência relacional.,,
28,Quem sou eu?,voz_do_dia,neurônios,NAO,Neurônios espelho nos fazem aprender por observação.,,
29,Quem sou eu?,voz_do_dia,neurociência,NAO,A neurociência mostra que valores internalizados — não apenas declarados — são os que governam comportamento em momentos de pressão.,,
32,O que me move?,voz_do_dia,neurociência,NAO,A neurociência diferencia motivação extrínseca — recompensa externa — de motivação intrínseca — que nasce de dentro.,,
33,O que me move?,voz_do_dia,"dopaminérgico, neurociência",NAO,"A neurociência confirma: inspiração genuína ativa o sistema de recompensa dopaminérgico de forma diferente do cumprimento de obrigação — mais profundo, mais duradouro.",,
34,O que me move?,voz_do_dia,neurociência,NAO,A neurociência mostra que emoções morais — como indignação — ativam regiões do cérebro ligadas a ação e propósito.,,
35,O que me move?,voz_do_dia,"cortisol, neurociência",NAO,"A neurociência confirma: comportamento motivado por evitação ativa o sistema de ameaça, produzindo cortisol e estreitando percepção.",,
35,O que me move?,voz_do_dia,dopamina,NAO,"Comportamento motivado por aproximação ativa o sistema de recompensa, produzindo dopamina e expandindo criatividade.",,
37,O que me move?,voz_do_dia,neurociência,NAO,A neurociência mostra que atividades alinhadas com habilidades naturais produzem estado de fluxo — absorção total onde performance e prazer se fundem.,,
38,O que me move?,voz_do_dia,neurociência,NAO,"A neurociência mostra que motivação baseada em ego — reconhecimento, status, superioridade — é instável e produz ansiedade crônica de manutenção.",,
40,O que me move?,voz_do_dia,neurociência,NAO,A neurociência descreve o ciclo da validação externa como loop de recompensa instável — cada dose de aprovação precisa ser maior que a anterior para produzir o mesmo efeito.,,
41,O que me move?,voz_do_dia,neurociência,NAO,A neurociência mostra que visualização vívida de objetivos futuros ativa os mesmos circuitos neurais que experiências reais — o cérebro começa a se preparar para o que você imagina com regularidade.,,
42,O que me move?,voz_do_dia,"amígdala, córtex, dopamina, neurociência, pré-frontal, serotonina",NAO,"A neurociência mostra que prática regular de gratidão aumenta atividade no córtex pré-frontal, reduz reatividade da amígdala e aumenta produção de dopamina e serotonina.",,
43,O que me move?,voz_do_dia,neurociência,NAO,"A neurociência mostra que interesse genuíno em um tema libera acetilcolina, neuromodulador ligado ao aprendizado e à atenção focada.",,
45,O que me move?,voz_do_dia,neurociência,NAO,"A neurociência mostra que oxitocina — hormônio da conexão e do amor — não apenas gera bem-estar, mas aumenta criatividade e cooperação.",,
47,O que me move?,voz_do_dia,neurociência,NAO,A neurociência mostra que senso de legado — sentir que sua vida contribui para algo maior — está diretamente ligado a bem-estar psicológico robusto e longevidade.,,
48,O que me move?,voz_do_dia,neurociência,NAO,"A neurociência confirma que tomada de decisão, criatividade e regulação emocional degradam severamente com fadiga crônica.",,
49,O que me move?,voz_do_dia,"neurociência, neurônios",NAO,A neurociência confirma que aprendizado por modelagem — observar alguém que você admira — ativa neurônios espelho de forma que nenhum livro consegue replicar.,,
51,O que me move?,voz_do_dia,neurociência,NAO,A neurociência mostra que multitarefa crônica reduz profundidade de processamento e qualidade de resultado.,,
53,O que me move?,voz_do_dia,dopamina,NAO,"No começo há entusiasmo, novidade, dopamina de início.",,
54,O que me move?,voz_do_dia,neurociência,NAO,A neurociência mostra que comprometimento comportamental — agir como se algo fosse verdade antes de ter certeza — é uma das formas mais eficazes de construir convicção e criar mudança.,,
56,O que me move?,voz_do_dia,dopaminérgico,NAO,O sistema dopaminérgico tem ciclos.,,
56,O que me move?,voz_do_dia,neurociência,NAO,"A neurociência mostra que em períodos de baixa motivação, começar com a menor ação possível — não a tarefa inteira, apenas o primeiro passo — é o gatilho mais eficaz para reencontrar o estado de fluxo.",,
57,O que me move?,voz_do_dia,"dopamina, neurociência",NAO,A neurociência mostra que reconhecer progresso — mesmo pequeno — libera dopamina que sustenta motivação para o próximo passo.,,
58,O que me move?,voz_do_dia,neurociência,NAO,A neurociência mostra que esperança — crença de que situações difíceis podem melhorar e que você tem agência nessa mudança — é um dos preditores mais robustos de saúde mental e resiliência.,,
60,Onde estou travado?,voz_do_dia,neurociência,NAO,A neurociência chama de 'evitação experiencial' o padrão de desviar do que desconforta — e mostra que a evitação aumenta o poder daquilo que se evita.,,
61,Onde estou travado?,voz_do_dia,neurociência,NAO,A neurociência mostra que procrastinação crônica não é problema de gestão de tempo — é regulação emocional.,,
63,Onde estou travado?,voz_do_dia,"cortisol, neurociência",NAO,"A neurociência confirma: rancor crônico mantém o sistema nervoso em estado de alerta, produzindo cortisol continuamente, comprometendo saúde física e clareza mental.",,
64,Onde estou travado?,voz_do_dia,neurociência,NAO,A neurociência chama de 'diferenciação' a capacidade de manter senso de si mesmo dentro de relacionamentos próximos.,,
65,Onde estou travado?,voz_do_dia,neurociência,NAO,"A neurociência chama de 'crença central negativa' esse tipo de convicção — formada cedo, operando automaticamente, resistente à evidência contrária.",,
66,Onde estou travado?,voz_do_dia,neurociência,NAO,A neurociência confirma: hábitos consomem menos energia cognitiva que decisões conscientes.,,
67,Onde estou travado?,voz_do_dia,neurociência,NAO,"A neurociência mostra que comunicação evitada aumenta carga cognitiva: o não-dito ocupa espaço mental continuamente, drenando energia que poderia ir para criação e presença.",,
68,Onde estou travado?,voz_do_dia,neurociência,NAO,A neurociência mostra que redes sociais ativam comparação social de forma que nosso sistema de avaliação não foi projetado para suportar — a exposição a centenas de 'highlights' alheios diariamente produz distorção sistemática da percepção de si mesmo.,,
