nivel,dia_jornada,mes_jornada,tema,arquivo,data_2026,campo,frase,reescrita
CRITICO,1,1,Quem sou eu?,2026-01,2026-01-01,voz_do_dia,"Antes de qualquer meta, antes de qualquer plano, antes de qualquer resolução de ano novo — existe uma pergunta que precede tudo: quem você é?",
CRITICO,31,2,Quem sou eu?,2026-01,2026-01-31,missao,Releia em 31 de dezembro.,
CRITICO,117,4,Minha visão de futuro,2026-04,2026-04-27,voz_do_dia,"Reinhard Hirtler escreve sobre discernimento de temporadas — saber que você está em inverno ou primavera, em colheita ou em preparo do solo, muda o que ação correta significa.",
CRITICO,335,12,Gratidão e recomeço,2026-12,2026-12-01,voz_do_dia,"Você está aqui, em dezembro, com tudo o que este ano te deu e te ensinou.",
CRITICO,335,12,Gratidão e recomeço,2026-12,2026-12-01,missao,Esse é o ponto de partida da sua reflexão de fim de ano.,
CRITICO,338,12,Gratidão e recomeço,2026-12,2026-12-04,voz_do_dia,Gratidão pelas pessoas é um dos registros mais importantes de fim de ano.,
CRITICO,343,12,Gratidão e recomeço,2026-12,2026-12-09,voz_do_dia,"Quando o ano novo chega, há uma fantasia popular de que você pode deixar para trás tudo o que foi e começar do zero.",
CRITICO,346,12,Gratidão e recomeço,2026-12,2026-12-12,missao,Divida em duas colunas: o que pode ser resolvido até 31 de dezembro e o que precisa ser conscientemente liberado.,
CRITICO,349,12,Gratidão e recomeço,2026-12,2026-12-15,voz_do_dia,"O ano está se fechando — e com ele, uma oportunidade que não volta: o que você vai fazer com os dias que ainda restam?",
CRITICO,351,12,Gratidão e recomeço,2026-12,2026-12-17,voz_do_dia,"Natal se aproxima — e com ele, a memória do que Deus fez ao entrar na história.",
CRITICO,351,12,Gratidão e recomeço,2026-12,2026-12-17,voz_do_dia,"Se há uma mensagem no Natal que vai além da tradição e do calendário, é essa: você é valioso o suficiente para que Deus escolhesse se tornar humano por você.",
CRITICO,352,12,Gratidão e recomeço,2026-12,2026-12-18,voz_do_dia,As festas de fim de ano têm um potencial enorme de conexão genuína — e um potencial igualmente enorme de superficialidade social ansiosa.,
CRITICO,353,12,Gratidão e recomeço,2026-12,2026-12-19,voz_do_dia,Você pode ser extraordinariamente generoso neste fim de ano sem gastar mais do que já planejou.,
CRITICO,354,12,Gratidão e recomeço,2026-12,2026-12-20,voz_do_dia,Algumas podem ser resolvidas antes de 31 de dezembro.,
CRITICO,354,12,Gratidão e recomeço,2026-12,2026-12-20,missao,Um por dia até 31 de dezembro.,
CRITICO,355,12,Gratidão e recomeço,2026-12,2026-12-21,voz_do_dia,O descanso de fim de ano não é fraqueza — é recarga necessária para o que vem.,
CRITICO,356,12,Gratidão e recomeço,2026-12,2026-12-22,voz_do_dia,O Natal e o Réveillon têm em comum a mesa — e a mesa tem em comum a presença.,
CRITICO,356,12,Gratidão e recomeço,2026-12,2026-12-22,missao,Pense na mesa de Natal ou de Réveillon com as pessoas que você vai estar.,
CRITICO,358,12,Gratidão e recomeço,2026-12,2026-12-24,voz_do_dia,E alguém vai sentar à mesa sem as pessoas que estavam aqui no Natal passado.,
CRITICO,358,12,Gratidão e recomeço,2026-12,2026-12-24,voz_do_dia,"A véspera de Natal concentra as duas extremidades da experiência humana — a alegria mais pura e a saudade mais profunda — muitas vezes no mesmo coração, na mesma noite.",
CRITICO,358,12,Gratidão e recomeço,2026-12,2026-12-24,voz_do_dia,O Natal não é sobre a perfeição da cena.,
